sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,8190,0.023689471185207367,child,2270,0.9763104915618896,The child neighbor child child,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,2270,0.9954615235328674,guest,12451,0.0045384312979876995,The child guest guest guest,True
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,8190,0.034100428223609924,child,2270,0.9658995866775513,The child neighbor child neighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,2270,0.9999938011169434,guest,12451,6.240931270440342e-06,The child child child child,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,8190,0.9995827078819275,child,2270,0.00041731575038284063,The neighbor neighbor neighbor neighbor,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,2270,0.9999998807907104,guest,12451,1.202619159812457e-07,The child child child child,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,8190,0.9962638020515442,child,2270,0.0037362207658588886,The neighbor neighbor neighbor neighbor,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,2270,0.9999324083328247,guest,12451,6.761842814739794e-05,The child guest guest guest,True
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,7462,0.9518632292747498,man,1444,0.048136770725250244,The investigator man man,True
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1444,0.9991704225540161,journalist,19994,0.0008295891457237303,The man journalist journalist journalist,True
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,7462,0.9996345043182373,man,1444,0.00036543281748890877,The investigator investigator,True
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1444,0.9995380640029907,journalist,19994,0.0004619058163370937,The man journalist journalist journalist,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,7462,0.999913215637207,man,1444,8.682211046107113e-05,The investigator man investig,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1444,0.9995344877243042,journalist,19994,0.0004655269149225205,The man journalist journalist man,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,7462,0.9999994039535522,man,1444,6.179393494676333e-07,The investigator investigator,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1444,0.999995231628418,journalist,19994,4.822624305234058e-06,The man journalist journalist journalist,True
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,1058,0.001700722612440586,thief,1074,0.9982993006706238,The thief mover,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,1074,0.9826908707618713,architect,8589,0.017309095710515976,The thief thief,True
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,1058,0.9989098310470581,thief,1074,0.0010901900241151452,The mover thief,True
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,1074,0.9999996423721313,architect,8589,3.9897170722724695e-07,The thief thief,True
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,1058,0.9643214344978333,thief,1074,0.03567855432629585,The mover thief,True
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,1074,0.9999980926513672,architect,8589,1.933358362293802e-06,The thief thief,True
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,1058,0.793105959892273,thief,1074,0.20689405500888824,The mover thief,True
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,1074,0.9999984502792358,architect,8589,1.5057016753416974e-06,The thief thief,True
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,14644,0.0627892017364502,student,6484,0.937210738658905,The student producer producer producer,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,6484,0.999823272228241,director,7627,0.00017674513219390064,The student director director director,True
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,14644,0.9999749660491943,student,6484,2.5071594791370444e-05,The producer student student student,True
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,6484,0.9999001026153564,director,7627,9.99303229036741e-05,The student director student director,True
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,14644,0.9999711513519287,student,6484,2.8857119104941376e-05,The producer producer producer producer,True
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,6484,0.9999958276748657,director,7627,4.2228334677929524e-06,The student director student director,True
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,14644,0.0004583129193633795,student,6484,0.9995417594909668,The student producer producer producer,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,6484,0.999971866607666,director,7627,2.818866414600052e-05,The student director director director,True
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,14660,0.010013571009039879,technician,3180,0.9899863600730896,The technician assistant assistant,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,3180,0.999322772026062,ambassador,5126,0.0006771942134946585,The technician technician,True
