sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,71750,0.016657039523124695,child,3647,0.9833430051803589,Thechildchildchildchild,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3647,0.837619960308075,guest,44547,0.16238002479076385,Thechildguestchildguest,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,71750,0.30074557662010193,child,3647,0.6992543935775757,Thechildneighborchildneighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3647,0.9273632764816284,guest,44547,0.07263670116662979,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,71750,0.9376689791679382,child,3647,0.06233103945851326,Theneighborchildneighborchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3647,0.9963500499725342,guest,44547,0.003649987280368805,Thechildchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,71750,0.8397339582443237,child,3647,0.16026602685451508,Theneighborchildneighborchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3647,0.21866938471794128,guest,44547,0.7813306450843811,Theguestguestguestguest,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,70978,0.18242551386356354,man,1066,0.8175744414329529,Themaninvestigatorinvestig,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1066,0.9582261443138123,journalist,195676,0.04177388176321983,Themanjournalistmanjournalist,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,70978,0.06512755155563354,man,1066,0.9348725080490112,Themaninvestigatorman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1066,0.9683812260627747,journalist,195676,0.031618766486644745,Themanmanmanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,70978,0.0446808747947216,man,1066,0.9553191661834717,Themaninvestigatorinvestig,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1066,0.954647421836853,journalist,195676,0.04535257816314697,Themanmanmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,70978,0.13660839200019836,man,1066,0.8633915781974792,Themaninvestigatorinvestig,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1066,0.961243748664856,journalist,195676,0.03875619173049927,Themanjournalistjournalistjournalist,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,69529,0.200557678937912,thief,217818,0.7994422912597656,Thethiefthiefthiefthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,217818,0.9719924926757812,architect,106944,0.028007520362734795,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,69529,0.10970577597618103,thief,217818,0.8902942538261414,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,217818,0.980728805065155,architect,106944,0.019271135330200195,Thethiefthiefthiefthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,69529,0.7461389899253845,thief,217818,0.2538610100746155,Themoverthiefmoverthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,217818,0.9983124732971191,architect,106944,0.0016875095898285508,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,69529,0.41869691014289856,thief,217818,0.581303060054779,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,217818,0.9935117363929749,architect,106944,0.0064882696606218815,Thethiefarchitectthiefarchitect,False
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,65044,0.3415825068950653,student,16134,0.6584175229072571,Thestudentproducerproducerproducer,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,16134,0.2465333491563797,director,43022,0.7534666657447815,Thedirectorstudentstudentstudent,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,65044,0.010489091277122498,student,16134,0.9895108342170715,Thestudentproducerproducerproducer,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,16134,0.9916841983795166,director,43022,0.008315779268741608,Thestudentdirectordirectordirector,False
