sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,37569,0.6959583163261414,child,3124,0.30404165387153625,Theneighborchildchildchild,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3124,0.5525397062301636,guest,31277,0.4474602937698364,Thechildguestguestguest,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,37569,0.2643583416938782,child,3124,0.735641598701477,Thechildchildchildchild,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3124,0.9857181310653687,guest,31277,0.01428193412721157,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,37569,0.24508501589298248,child,3124,0.7549149990081787,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3124,0.9811668992042542,guest,31277,0.018833130598068237,Thechildchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,37569,0.6601723432540894,child,3124,0.33982762694358826,Theneighborchildchildneighbor,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3124,0.6959583163261414,guest,31277,0.30404165387153625,Thechildguestguestguest,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,43114,0.28298813104629517,man,1543,0.7170118689537048,Themanmanmanman,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1543,0.6706082820892334,journalist,43618,0.3293917179107666,Themanmanmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,43114,0.1561049073934555,man,1543,0.8438951373100281,Themanmanmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1543,0.6671476364135742,journalist,43618,0.3328523337841034,Themanjournalistman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,43114,0.19559407234191895,man,1543,0.804405927658081,Themanmanmanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1543,0.6020615696907043,journalist,43618,0.39793840050697327,Themanmanmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,43114,0.4843800961971283,man,1543,0.5156199336051941,Themanmanmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1543,0.5448014140129089,journalist,43618,0.45519861578941345,Themanjournalistman,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,76,0.3065270483493805,thief,339,0.6934729218482971,Thethiefthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,339,0.05223085358738899,architect,1132,0.9477691650390625,Thearchitectthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,76,0.1755380630493164,thief,339,0.8244618773460388,Thethiefmover,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,339,0.027585284784436226,architect,1132,0.9724147915840149,Thearchitectthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,76,0.21337716281414032,thief,339,0.7866228222846985,Thethiefmover,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,339,0.5253688097000122,architect,1132,0.4746311902999878,Thethiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,76,0.2011847198009491,thief,339,0.7988152503967285,Thethiefmover,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,339,0.018546564504504204,architect,1132,0.9814534187316895,Thearchitectthief,False
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,60012,0.7549149990081787,student,12307,0.24508501589298248,Theproducerstudentstudentstudent,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,12307,0.41869691014289856,director,70895,0.581303060054779,Thedirectorstudentstudentstudent,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,60012,0.5794004201889038,student,12307,0.4205996096134186,Theproducerstudentproducerproducer,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,12307,0.7892336845397949,director,70895,0.21076630055904388,Thestudentdirectorstudentstudent,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,60012,0.7386690378189087,student,12307,0.2613309323787689,Theproducerproducerproducerproducer,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,12307,0.9053223133087158,director,70895,0.09467770159244537,Thestudentstudentstudentstudent,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,60012,0.854884684085846,student,12307,0.14511536061763763,Theproducerstudentproducerproducer,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,12307,0.5698526501655579,director,70895,0.43014732003211975,Thestudentdirectorstudentstudent,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,78191,0.9993588328361511,technician,26522,0.0006411777576431632,Theassistantassistantassistantassistant,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,26522,0.03875619173049927,ambassador,3042,0.961243748664856,Theambassadortechnician,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,5,second_center_mid,The assistant,assistant,78191,0.9993333220481873,technician,26522,0.0006667023408226669,Theassistantassistantassistantassistant,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,5,first_center_mid,The technician,technician,26522,0.08819004893302917,ambassador,3042,0.9118099808692932,Theambassadortechnician,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the ambassador insult?,5,second_center_sim,The assistant,assistant,78191,0.9997387528419495,technician,26522,0.00026119028916582465,Theassistantassistantassistantassistant,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the assistant find?,5,first_center_sim,The technician,technician,26522,0.24798743426799774,ambassador,3042,0.7520125508308411,Theiciantechniciantechn,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the ambassador insult?,5,second_center_sim_rev,The assistant,assistant,78191,0.999559223651886,technician,26522,0.0004407629603520036,Theassistantassistantassistantassistant,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the assistant find?,5,first_center_sim_rev,The technician,technician,26522,0.08756384998559952,ambassador,3042,0.9124361872673035,Theambassadortechnician,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the waiter slander?,6,second_center_com,The broadcaster,broadcaster,65,0.188323974609375,model,2590,0.8116759657859802,Themodelbroadcaster,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the broadcaster recognize?,6,first_center_com,The model,model,2590,0.030908960849046707,waiter,11748,0.9690910577774048,Thewaitermodeler,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the waiter slander?,6,second_center_mid,The broadcaster,broadcaster,65,0.0028560124337673187,model,2590,0.9971439242362976,Themodelmodelmodelmodel,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the broadcaster recognize?,6,first_center_mid,The model,model,2590,0.5253688097000122,waiter,11748,0.4746311902999878,Themodelerwaiter,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the waiter slander?,6,second_center_sim,The broadcaster,broadcaster,65,0.034100428223609924,model,2590,0.9658995866775513,Themodelmodelmodelmodel,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the broadcaster recognize?,6,first_center_sim,The model,model,2590,0.1766716092824936,waiter,11748,0.8233283758163452,Thewaitermodeler,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the waiter slander?,6,second_center_sim_rev,The broadcaster,broadcaster,65,0.018124720081686974,model,2590,0.9818752408027649,Themodelmodelmodelmodel,False
