sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,12307,0.3486451506614685,child,2278,0.6513549089431763,The child neighbor child child,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,2278,0.9329437017440796,guest,17838,0.06705628335475922,The child guest child child,True
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,12307,0.37387582659721375,child,2278,0.6261242032051086,The child neighbor child neighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,2278,0.9984269142150879,guest,17838,0.0015731120947748423,The child guest child child,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,12307,0.9207897186279297,child,2278,0.0792103260755539,The neighbor child child child,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,2278,0.9987648725509644,guest,17838,0.0012351679615676403,The child guest child guest,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,12307,0.9566342234611511,child,2278,0.043365802615880966,The neighbor child child child,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,2278,0.9982038736343384,guest,17838,0.0017961491830646992,The child guest child child,True
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,7405,0.7634837031364441,man,767,0.23651622235774994,The investigator man investig,True
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,767,0.36658975481987,journalist,24452,0.6334102749824524,The journalist man man journalist,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,7405,0.3345894515514374,man,767,0.665410578250885,The man investigator investig,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,767,0.7943849563598633,journalist,24452,0.20561504364013672,The man journalist man man,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,7405,0.9833430051803589,man,767,0.016657039523124695,The investigator investigator,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,767,0.8311430811882019,journalist,24452,0.16885696351528168,The man journalist man man,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,7405,0.9693241715431213,man,767,0.030675798654556274,The investigator investigator,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,767,0.9585376977920532,journalist,24452,0.04146227240562439,The man man man man,True
