sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,37569,0.314050555229187,child,3124,0.685949444770813,Thechildneighborneighborneighbor,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3124,0.5525397062301636,guest,31277,0.4474602937698364,Thechildguestchildguest,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,37569,0.3812195658683777,child,3124,0.6187804341316223,Thechildneighborneighborneighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3124,0.9757624268531799,guest,31277,0.024237636476755142,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,37569,0.9339146018028259,child,3124,0.06608537584543228,Theneighborneighborneighborneighbor,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3124,0.9773707389831543,guest,31277,0.02262919954955578,Thechildchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,37569,0.9948000907897949,child,3124,0.005199880339205265,Theneighborneighborneighborneighbor,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3124,0.9930152893066406,guest,31277,0.006984649691730738,Thechildchildchildchild,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,43114,0.9207897186279297,man,1543,0.0792103260755539,Theinvestigatormanman,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1543,0.5370413661003113,journalist,43618,0.46295860409736633,Themanjournalistman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,43114,0.9835969805717468,man,1543,0.01640303246676922,Theinvestigatormanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1543,0.7446563243865967,journalist,43618,0.25534364581108093,Themanmanmanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,43114,0.9946150183677673,man,1543,0.005384937860071659,Theinvestigatormaninvest,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1543,0.9012274742126465,journalist,43618,0.09877259284257889,Themanmanmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,43114,0.9961004257202148,man,1543,0.0038996210787445307,Theinvestigatormanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1543,0.9224823713302612,journalist,43618,0.07751765847206116,Themanmanmanman,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,76,0.8749346137046814,thief,339,0.1250653862953186,Themoverthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,339,0.06560482829809189,architect,1132,0.9343951344490051,Thearchitectthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,76,0.914290726184845,thief,339,0.08570927381515503,Themoverthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,339,0.6001883149147034,architect,1132,0.39981165528297424,Thethiefarchitect,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,76,0.9334307909011841,thief,339,0.06656918674707413,Themoverthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,339,0.5755879878997803,architect,1132,0.4244120121002197,Thethiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,76,0.9709092378616333,thief,339,0.02909075655043125,Themoverthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,339,0.4590761363506317,architect,1132,0.5409238338470459,Thearchitectthief,False
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,60012,0.9732407331466675,student,12307,0.026759283617138863,Theproducerproducerproducerproducer,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,12307,0.9458011984825134,director,70895,0.0541987270116806,Thestudentdirectorstudentdirector,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,60012,0.9947391152381897,student,12307,0.005260852165520191,Theproducerproducerproducerproducer,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,12307,0.9937100410461426,director,70895,0.006289901677519083,Thestudentdirectorstudentdirector,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,60012,0.9917484521865845,student,12307,0.008251599036157131,Theproducerproducerproducerproducer,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,12307,0.9953181147575378,director,70895,0.004681822843849659,Thestudentstudentstudentstudent,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,60012,0.9995859265327454,student,12307,0.000414069538237527,Theproducerproducerproducerproducer,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,12307,0.9961155652999878,director,70895,0.0038844766095280647,Thestudentstudentstudentstudent,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,78191,0.869714617729187,technician,26522,0.13028542697429657,Theassistanttechnicianassistant,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,26522,0.4843800961971283,ambassador,3042,0.5156199336051941,Theambassadortechnician,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,5,second_center_mid,The assistant,assistant,78191,0.5331543684005737,technician,26522,0.4668456017971039,Theassistanttechnicianassistant,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,5,first_center_mid,The technician,technician,26522,0.859663724899292,ambassador,3042,0.14033624529838562,Thetechnicianambassador,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the ambassador insult?,5,second_center_sim,The assistant,assistant,78191,0.9932811260223389,technician,26522,0.006718870252370834,Theassistantassistantassistantassistant,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the assistant find?,5,first_center_sim,The technician,technician,26522,0.9698996543884277,ambassador,3042,0.03010033629834652,Thetechniciantechnician,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the ambassador insult?,5,second_center_sim_rev,The assistant,assistant,78191,0.9989098310470581,technician,26522,0.0010901900241151452,Theassistantassistantassistantassistant,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the assistant find?,5,first_center_sim_rev,The technician,technician,26522,0.9764007329940796,ambassador,3042,0.023599296808242798,Thetechnicianambassador,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the waiter slander?,6,second_center_com,The broadcaster,broadcaster,65,0.014503580518066883,model,2590,0.985496461391449,Themodelbroadcaster,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the broadcaster recognize?,6,first_center_com,The model,model,2590,0.6513549089431763,waiter,11748,0.3486451506614685,Themodelmodelmodelmodel,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the waiter slander?,6,second_center_mid,The broadcaster,broadcaster,65,0.4590761363506317,model,2590,0.5409238338470459,Themodelbroadcaster,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the broadcaster recognize?,6,first_center_mid,The model,model,2590,0.9433475732803345,waiter,11748,0.05665242671966553,Themodelmodelmodelmodel,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the waiter slander?,6,second_center_sim,The broadcaster,broadcaster,65,0.5389832258224487,model,2590,0.46101680397987366,Thebroadcasterb,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the broadcaster recognize?,6,first_center_sim,The model,model,2590,0.939024806022644,waiter,11748,0.06097518280148506,Themodelmodelmodelmodel,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the waiter slander?,6,second_center_sim_rev,The broadcaster,broadcaster,65,0.8558511734008789,model,2590,0.14414885640144348,Thebroadcasterb,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the broadcaster recognize?,6,first_center_sim_rev,The model,model,2590,0.9522199034690857,waiter,11748,0.04778006672859192,Themodelmodelmodelmodel,False
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the seller annoy?,7,second_center_com,The student,student,12307,0.859663724899292,tourist,52439,0.14033624529838562,Thestudenttouristtour,False
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the student escort?,7,first_center_com,The tourist,tourist,52439,0.9929060935974121,seller,35199,0.007093861699104309,Thetouristtourist,False
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the seller annoy?,7,second_center_mid,The student,student,12307,0.9695556163787842,tourist,52439,0.030444350093603134,Thestudenttouristtour,False
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the student escort?,7,first_center_mid,The tourist,tourist,52439,0.8606036305427551,seller,35199,0.13939638435840607,Thetouristtourist,False
"There is that student annoyed by the seller, so the tourist, who was escorted by the student, fell asleep.",Who did the seller annoy?,7,second_center_sim,The student,student,12307,0.9713473320007324,tourist,52439,0.028652669861912727,Thestudenttouriststudent,False
"There is that student annoyed by the seller, so the tourist, who was escorted by the student, fell asleep.",Who did the student escort?,7,first_center_sim,The tourist,tourist,52439,0.9933846592903137,seller,35199,0.006615392863750458,Thetouristtourist,False
"The tourist, who was escorted by the student, fell asleep. The student is the one annoyed by the seller.",Who did the seller annoy?,7,second_center_sim_rev,The student,student,12307,0.976669192314148,tourist,52439,0.023330768570303917,Thestudenttouriststudent,False
"The tourist, who was escorted by the student, fell asleep. The student is the one annoyed by the seller.",Who did the student escort?,7,first_center_sim_rev,The tourist,tourist,52439,0.9924813508987427,seller,35199,0.007518718484789133,Thetouristtourist,False
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the flight attendant delay?,8,second_center_com,The guide,guide,49470,0.9623913168907166,guy,70,0.03760863468050957,Theguideguyg,False
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the guide amuse?,8,first_center_com,The guy,guy,70,0.049958523362874985,flight attendant,39490,0.9500414729118347,The attendant attendant attendant attendant,False
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the flight attendant delay?,8,second_center_mid,The guide,guide,49470,0.998745322227478,guy,70,0.0012545945355668664,Theguideguyg,False
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the guide amuse?,8,first_center_mid,The guy,guy,70,0.5214711427688599,flight attendant,39490,0.47852882742881775,The attendant attendant attendant attendant,False
"There is that guide delayed by the flight attendant, so the guy, who was amused by the guide, calmed down.",Who did the flight attendant delay?,8,second_center_sim,The guide,guide,49470,0.9904775619506836,guy,70,0.009522486478090286,Theguideguyg,False
"There is that guide delayed by the flight attendant, so the guy, who was amused by the guide, calmed down.",Who did the guide amuse?,8,first_center_sim,The guy,guy,70,0.9548162817955017,flight attendant,39490,0.045183755457401276,The attendant attendant attendant attendant,False
"The guy, who was amused by the guide, calmed down. The guide is the one delayed by the flight attendant.",Who did the flight attendant delay?,8,second_center_sim_rev,The guide,guide,49470,0.999523401260376,guy,70,0.0004765612829942256,Theguideguyg,False
"The guy, who was amused by the guide, calmed down. The guide is the one delayed by the flight attendant.",Who did the guide amuse?,8,first_center_sim_rev,The guy,guy,70,0.9932550191879272,flight attendant,39490,0.0067449901252985,The attendant attendant attendant attendant,False
The artist that the curator that the museum hired praised smiled.,Who did the museum hire?,10,second_center_com,The curator,curator,2407,0.6740504503250122,artist,19135,0.3259495198726654,Thecuratorartistcur,False
The artist that the curator that the museum hired praised smiled.,Who did the curator praise?,10,first_center_com,The artist,artist,19135,0.9964203834533691,museum,76,0.0035796426236629486,Theartistmuseumm,False
"The artist, who was praised by the curator hired by the museum, smiled.",Who did the museum hire?,10,second_center_mid,The curator,curator,2407,0.9976032376289368,artist,19135,0.0023967307060956955,Thecuratorartistcur,False
"The artist, who was praised by the curator hired by the museum, smiled.",Who did the curator praise?,10,first_center_mid,The artist,artist,19135,0.999438464641571,museum,76,0.0005614787223748863,Theartistmuseumm,False
"There is that curator hired by the museum, so the artist, who was praised by the curator, smiled.",Who did the museum hire?,10,second_center_sim,The curator,curator,2407,0.998217761516571,artist,19135,0.001782196224667132,Thecuratorcurator,False
"There is that curator hired by the museum, so the artist, who was praised by the curator, smiled.",Who did the curator praise?,10,first_center_sim,The artist,artist,19135,0.9996633529663086,museum,76,0.00033666222589090466,Theartistmuseumm,False
"The artist, who was praised by the curator, smiled. The curator is the one hired by the museum.",Who did the museum hire?,10,second_center_sim_rev,The curator,curator,2407,0.9991030693054199,artist,19135,0.0008969393093138933,Thecuratorcurator,False
"The artist, who was praised by the curator, smiled. The curator is the one hired by the museum.",Who did the curator praise?,10,first_center_sim_rev,The artist,artist,19135,0.9997240900993347,museum,76,0.00027586790383793414,Theartistmuseumm,False
The child that the librarian that the author met liked smiled.,Who did the author meet?,11,second_center_com,The librarian,librarian,2808,0.8365545868873596,child,3124,0.16344544291496277,Thelibrarianchildlib,False
The child that the librarian that the author met liked smiled.,Who did the librarian like?,11,first_center_com,The child,child,3124,0.22270014882087708,author,3170,0.7772998809814453,Theauthorchildauthorchild,False
"The child, which was liked by the librarian met by the author, smiled.",Who did the author meet?,11,second_center_mid,The librarian,librarian,2808,0.14804719388484955,child,3124,0.851952850818634,Thechildlibrarianchild,False
"The child, which was liked by the librarian met by the author, smiled.",Who did the librarian like?,11,first_center_mid,The child,child,3124,0.9676556587219238,author,3170,0.032344330102205276,Thechildauthorchildauthor,False
"There is that librarian met by the author, so the child, which was liked by the librarian, smiled.",Who did the author meet?,11,second_center_sim,The librarian,librarian,2808,0.9610980749130249,child,3124,0.03890198469161987,Thelibrarianchildlib,False
"There is that librarian met by the author, so the child, which was liked by the librarian, smiled.",Who did the librarian like?,11,first_center_sim,The child,child,3124,0.8902942538261414,author,3170,0.10970577597618103,Thechildauthorchildauthor,False
"The child, who was liked by the librarian, smiled. The librarian is the one met by the author.",Who did the author meet?,11,second_center_sim_rev,The librarian,librarian,2808,0.9944451451301575,child,3124,0.005554925184696913,Thelibrarianrarianlib,False
"The child, who was liked by the librarian, smiled. The librarian is the one met by the author.",Who did the librarian like?,11,first_center_sim_rev,The child,child,3124,0.9693241715431213,author,3170,0.030675798654556274,Thechildchildchildchild,False
The singer that the manager that the producer hired promoted performed.,Who did the producer hire?,12,second_center_com,The manager,manager,13600,0.9979572296142578,singer,82,0.00204276479780674,Themanagermanagermanagermanager,False
The singer that the manager that the producer hired promoted performed.,Who did the manager promote?,12,first_center_com,The singer,singer,82,0.04401865229010582,producer,60012,0.9559813141822815,Theproducerproducerproducerproducer,False
"The singer, who was promoted by the manager hired by the producer, performed.",Who did the producer hire?,12,second_center_mid,The manager,manager,13600,0.9993201494216919,singer,82,0.000679842836689204,Themanagermanagermanagermanager,False
"The singer, who was promoted by the manager hired by the producer, performed.",Who did the manager promote?,12,first_center_mid,The singer,singer,82,0.2372223287820816,producer,60012,0.7627776861190796,Theingeringeringeringer,False
"There is that manager hired by the producer, so the singer, who was promoted by the manager, performed.",Who did the producer hire?,12,second_center_sim,The manager,manager,13600,0.9993940591812134,singer,82,0.000605891749728471,Themanagermanagermanagermanager,False
"There is that manager hired by the producer, so the singer, who was promoted by the manager, performed.",Who did the manager promote?,12,first_center_sim,The singer,singer,82,0.8418256044387817,producer,60012,0.15817435085773468,Theingeringeringeringer,False
"The singer, who was promoted by the manager, performed. The manager is the one hired by the producer.",Who did the producer hire?,12,second_center_sim_rev,The manager,manager,13600,0.9996243715286255,singer,82,0.0003755592042580247,Themanagermanagermanagermanager,False
"The singer, who was promoted by the manager, performed. The manager is the one hired by the producer.",Who did the manager promote?,12,first_center_sim_rev,The singer,singer,82,0.4736572504043579,producer,60012,0.5263427495956421,Theingeringeringeringer,False
The dancer that the photographer that the director hired photographed bowed.,Who did the director hire?,13,second_center_com,The photographer,photographer,52399,0.9979731440544128,dancer,67,0.0020269001834094524,Thephotographerdancer,False
The dancer that the photographer that the director hired photographed bowed.,Who did the photographer photograph?,13,first_center_com,The dancer,dancer,67,0.9758545756340027,director,70895,0.024145422503352165,Thedancerdancer,False
"The dancer, who was photographed by the photographer hired by the director, bowed.",Who did the director hire?,13,second_center_mid,The photographer,photographer,52399,0.9998944997787476,dancer,67,0.00010554686741670594,Thephotographerdancer,False
"The dancer, who was photographed by the photographer hired by the director, bowed.",Who did the photographer photograph?,13,first_center_mid,The dancer,dancer,67,0.9199306964874268,director,70895,0.08006925880908966,Theancerdancerd,False
"There is that photographer hired by the director, so the dancer, who was photographed by the photographer, bowed.",Who did the director hire?,13,second_center_sim,The photographer,photographer,52399,0.9997667670249939,dancer,67,0.0002332232252229005,Thephotographerdancer,False
