sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,71750,0.0013205071445554495,child,3647,0.9986794590950012,Thechildneighborchildneighbor,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3647,0.637030839920044,guest,44547,0.36296921968460083,Thechildguestchildguest,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,71750,0.5,child,3647,0.5,Theneighborchildchildneighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3647,0.9912166595458984,guest,44547,0.008783359080553055,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,71750,0.9989089965820312,child,3647,0.0010909878183156252,Theneighborchildneighborchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3647,0.9983409643173218,guest,44547,0.0016589626902714372,Thechildchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,71750,0.9995891451835632,child,3647,0.0004108485300093889,Theneighborchildchildneighbor,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3647,0.7461389899253845,guest,44547,0.2538610100746155,Thechildchildchildchild,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,70978,0.46101680397987366,man,1066,0.5389832258224487,Themaninvestigatorinvestig,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1066,0.5983121991157532,journalist,195676,0.4016878008842468,Themanjournalistmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,70978,0.3328523337841034,man,1066,0.6671476364135742,Themanmanmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1066,0.9497627019882202,journalist,195676,0.05023736506700516,Themanmanmanman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,70978,0.31658053398132324,man,1066,0.6834195256233215,Themaninvestigatorman,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1066,0.6926419734954834,journalist,195676,0.3073580265045166,Themanmanmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,70978,0.724090576171875,man,1066,0.2759094536304474,Theinvestigatormanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1066,0.9008791446685791,journalist,195676,0.0991208553314209,Themanmanmanman,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,69529,9.915272676153108e-05,thief,217818,0.9999008178710938,Thethiefthiefthiefthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,217818,0.8344069123268127,architect,106944,0.16559311747550964,Thethiefthiefarchitectarchitect,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,69529,0.44263648986816406,thief,217818,0.5573635101318359,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,217818,0.9950395226478577,architect,106944,0.004960531834512949,Thethiefthiefthiefthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,69529,0.2030746340751648,thief,217818,0.7969253659248352,Thethiefthiefthiefthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,217818,0.999832272529602,architect,106944,0.0001676675892667845,Thethiefthiefthiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,69529,0.972933828830719,thief,217818,0.027066176757216454,Themoverthiefthiefthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,217818,0.9905874133110046,architect,106944,0.009412589482963085,Thethiefthiefthiefthief,False
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,65044,0.46101680397987366,student,16134,0.5389832258224487,Thestudentproducerproducerstudent,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,16134,0.7943849563598633,director,43022,0.20561504364013672,Thestudentdirectordirectordirector,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,65044,0.9936023354530334,student,16134,0.006397625431418419,Theproducerstudentstudentproducer,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,16134,0.8050197958946228,director,43022,0.1949802190065384,Thestudentstudentstudentstudent,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,65044,0.9799189567565918,student,16134,0.020081009715795517,Theproducerstudentproducerstudent,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,16134,0.999983549118042,director,43022,1.650684862397611e-05,Thestudentstudentstudentstudent,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,65044,0.9994909763336182,student,16134,0.0005090173217467964,Theproducerstudentstudentproducer,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,16134,0.7122321724891663,director,43022,0.28776782751083374,Thestudentstudentstudentstudent,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,105776,0.08494710177183151,technician,72400,0.9150528311729431,Thetechnicianassistanttechnic,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,72400,0.9983507394790649,ambassador,1944,0.0016492868307977915,Thetechniciantechnician,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,5,second_center_mid,The assistant,assistant,105776,0.5496405959129333,technician,72400,0.45035937428474426,Theassistanttechnicianassistant,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,5,first_center_mid,The technician,technician,72400,0.9994195699691772,ambassador,1944,0.0005804235697723925,Thetechnicianianian,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the ambassador insult?,5,second_center_sim,The assistant,assistant,105776,0.9881765246391296,technician,72400,0.01182339433580637,Theassistantassistantassistantassistant,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the assistant find?,5,first_center_sim,The technician,technician,72400,0.9998655319213867,ambassador,1944,0.00013446628872770816,Thetechnicianianian,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the ambassador insult?,5,second_center_sim_rev,The assistant,assistant,105776,0.9928091764450073,technician,72400,0.007190811913460493,Theassistantassistantassistantassistant,False
