sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,12307,0.3775406777858734,child,2278,0.622459352016449,The child neighbor neighbor neighbor,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,2278,0.9881309270858765,guest,17838,0.011869121342897415,The child child child child,True
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,12307,0.06097518280148506,child,2278,0.939024806022644,The child neighbor neighbor neighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,2278,0.9992903470993042,guest,17838,0.0007096704212017357,The child child child child,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,12307,0.9086179733276367,child,2278,0.09138210862874985,The neighbor neighbor neighbor neighbor,True
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,2278,0.9975656270980835,guest,17838,0.0024343819823116064,The child child child child,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,12307,0.9960545301437378,child,2278,0.003945406526327133,The neighbor neighbor neighbor neighbor,True
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,2278,0.9997546076774597,guest,17838,0.0002453695051372051,The child child child child,True
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,7405,0.2751297354698181,man,767,0.7248703241348267,The man investigator man,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,767,0.966663122177124,journalist,24452,0.0333368219435215,The man man man man,True
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,7405,0.0065388246439397335,man,767,0.9934611320495605,The man investigator man,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,767,0.9857181310653687,journalist,24452,0.01428193412721157,The man man man man,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,7405,0.9124361872673035,man,767,0.08756384998559952,The investigator investigator,True
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,767,0.9882221817970276,journalist,24452,0.011777843348681927,The man man man man,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,7405,0.9895108342170715,man,767,0.010489091277122498,The investigator investigator,True
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,767,0.9933589100837708,journalist,24452,0.006641112733632326,The man man man man,True
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,286,0.5428633093833923,thief,266,0.45713675022125244,The mover thief,True
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,266,0.6001883149147034,architect,6956,0.39981165528297424,The thief architect th,True
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,286,0.957277774810791,thief,266,0.0427221953868866,The mover thief,True
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,266,0.9759464263916016,architect,6956,0.024053553119301796,The thief architect th,True
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,286,0.7217432260513306,thief,266,0.2782568037509918,The mover mover,True
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,266,0.9956005811691284,architect,6956,0.004399413242936134,The thief thief,True
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,286,0.8688268065452576,thief,266,0.13117322325706482,The mover mover,True
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,266,0.9896718263626099,architect,6956,0.010328153148293495,The thief thief,True
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,14297,0.8918110132217407,student,8368,0.10818894952535629,The producer student producer student,True
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,8368,0.49218812584877014,director,8881,0.5078118443489075,The director director director director,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,14297,0.894789457321167,student,8368,0.10521053522825241,The producer producer producer producer,True
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,8368,0.9697853922843933,director,8881,0.030214589089155197,The student director director director,True
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,14297,0.9899863600730896,student,8368,0.010013571009039879,The producer producer producer producer,True
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,8368,0.9939963817596436,director,8881,0.006003595422953367,The student director director student,True
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,14297,0.9989758729934692,student,8368,0.0010242064017802477,The producer producer producer producer,True
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,8368,0.996570348739624,director,8881,0.0034296035300940275,The student student student student,True
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,20255,0.11757213622331619,technician,5722,0.8824278712272644,The technician assistant techn,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,5722,0.9971103668212891,ambassador,3181,0.002889581024646759,The technician technician,True
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,5,second_center_mid,The assistant,assistant,20255,0.06853749603033066,technician,5722,0.9314625263214111,The technician assistant techn,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,5,first_center_mid,The technician,technician,5722,0.9982725381851196,ambassador,3181,0.0017274586716666818,The technician technician,True
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the ambassador insult?,5,second_center_sim,The assistant,assistant,20255,0.6001883149147034,technician,5722,0.39981165528297424,The assistant technician assistant,True
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the assistant find?,5,first_center_sim,The technician,technician,5722,0.9999756813049316,ambassador,3181,2.4300239601871e-05,The technician technician,True
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the ambassador insult?,5,second_center_sim_rev,The assistant,assistant,20255,0.5428633093833923,technician,5722,0.45713675022125244,The assistant technician assistant,True
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the assistant find?,5,first_center_sim_rev,The technician,technician,5722,0.9978172779083252,ambassador,3181,0.002182716503739357,The technician technician,True
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the waiter slander?,6,second_center_com,The broadcaster,broadcaster,7300,0.3293917179107666,model,1904,0.6706082820892334,The model model model model,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the broadcaster recognize?,6,first_center_com,The model,model,1904,0.8791467547416687,waiter,4480,0.1208532303571701,The modeler modeler,True
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the waiter slander?,6,second_center_mid,The broadcaster,broadcaster,7300,0.052618954330682755,model,1904,0.9473810195922852,The model model model model,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the broadcaster recognize?,6,first_center_mid,The model,model,1904,0.9835969805717468,waiter,4480,0.01640303246676922,The model model model model,True
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the waiter slander?,6,second_center_sim,The broadcaster,broadcaster,7300,0.020645931363105774,model,1904,0.9793540239334106,The model model model model,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the broadcaster recognize?,6,first_center_sim,The model,model,1904,0.9990149736404419,waiter,4480,0.0009850083151832223,The modeler modeler,True
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the waiter slander?,6,second_center_sim_rev,The broadcaster,broadcaster,7300,0.8933094143867493,model,1904,0.10669060051441193,The broadcaster model,True
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the broadcaster recognize?,6,first_center_sim_rev,The model,model,1904,0.9984869956970215,waiter,4480,0.0015129382954910398,The model model model model,True
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the seller annoy?,7,second_center_com,The student,student,8368,0.4687906503677368,tourist,6282,0.531209409236908,The tourist student student,False
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the student escort?,7,first_center_com,The tourist,tourist,6282,0.9818752408027649,seller,269,0.018124720081686974,The tourist seller,True
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the seller annoy?,7,second_center_mid,The student,student,8368,0.8933094143867493,tourist,6282,0.10669060051441193,The student tourist tour,True
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the student escort?,7,first_center_mid,The tourist,tourist,6282,0.9989098310470581,seller,269,0.0010901900241151452,The tourist tourist,True
"There is that student annoyed by the seller, so the tourist, who was escorted by the student, fell asleep.",Who did the seller annoy?,7,second_center_sim,The student,student,8368,0.31742629408836365,tourist,6282,0.6825737357139587,The tourist student tour,False
"There is that student annoyed by the seller, so the tourist, who was escorted by the student, fell asleep.",Who did the student escort?,7,first_center_sim,The tourist,tourist,6282,0.9998028874397278,seller,269,0.00019716942915692925,The tourist seller,True
"The tourist, who was escorted by the student, fell asleep. The student is the one annoyed by the seller.",Who did the seller annoy?,7,second_center_sim_rev,The student,student,8368,0.9416541457176208,tourist,6282,0.05834583565592766,The student tourist tour,True
"The tourist, who was escorted by the student, fell asleep. The student is the one annoyed by the seller.",Who did the student escort?,7,first_center_sim_rev,The tourist,tourist,6282,0.9994514584541321,seller,269,0.0005484791472554207,The tourist seller,True
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the flight attendant delay?,8,second_center_com,The guide,guide,10754,0.028007520362734795,guy,1410,0.9719924926757812,The guy guy,False
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the guide amuse?,8,first_center_com,The guy,guy,1410,0.38861799240112305,flight attendant,16286,0.6113819479942322,The flight attendant gu,False
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the flight attendant delay?,8,second_center_mid,The guide,guide,10754,0.6076632142066956,guy,1410,0.3923368453979492,The guide guy gu,True
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the guide amuse?,8,first_center_mid,The guy,guy,1410,0.9273632764816284,flight attendant,16286,0.07263670116662979,The guy guy,True
