sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,37569,0.21733751893043518,child,3124,0.7826625108718872,Thechildneighborchildneighbor,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3124,0.4843800961971283,guest,31277,0.5156199336051941,Theguestchildchildchild,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,37569,0.45132651925086975,child,3124,0.5486735105514526,Thechildneighborchildneighbor,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3124,0.7606506943702698,guest,31277,0.2393493503332138,Thechildchildchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,37569,0.9569571614265442,child,3124,0.043042849749326706,Theneighborchildneighborchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3124,0.9477691650390625,guest,31277,0.05223085358738899,Thechildguestchildguest,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,37569,0.8056321740150452,child,3124,0.19436782598495483,Theneighborchildchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3124,0.8807970285415649,guest,31277,0.11920291930437088,Thechildguestchildguest,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,43114,0.9190633296966553,man,1543,0.08093671500682831,Theinvestigatormanman,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1543,0.42823338508605957,journalist,43618,0.5717666149139404,Thejournalistmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,43114,0.6992543935775757,man,1543,0.30074557662010193,Theinvestigatormanman,False
