sentence,question,set_id,type,answer,correct_option,incorrect_option
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,s1,second_center,The neighbor,neighbor,child
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,s1,first_center,The child,child,guest
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,s1,second_center_nd,The neighbor,neighbor,child
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,s1,first_center_nd,The child,child,guest
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,s2,second_center,The investigator,investigator,man
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,s2,first_center,The man,man,journalist
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,s2,second_center_nd,The investigator,investigator,man
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,s2,first_center_nd,The man,man,journalist
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,s3,second_center,The mover,mover,thief
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,s3,first_center,The thief,thief,architect
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,s3,second_center_nd,The mover,mover,thief
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,s3,first_center_nd,The thief,thief,architect
The student that the producer that the director hired preferred resigned.,Who did the director hire?,s4,second_center,The producer,producer,student
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,s4,first_center,The student,student,director
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,s4,second_center_nd,The producer,producer,student
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,s4,first_center_nd,The student,student,director
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,s5,second_center,The assistant,assistant,technician
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,s5,first_center,The technician,technician,ambassador
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,s5,second_center_nd,The assistant,assistant,technician
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,s5,first_center_nd,The technician,technician,ambassador
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the waiter slander?,s6,second_center,The broadcaster,broadcaster,model
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the broadcaster recognize?,s6,first_center,The model,model,waiter
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the waiter slander?,s6,second_center_nd,The broadcaster,broadcaster,model
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the broadcaster recognize?,s6,first_center_nd,The model,model,waiter
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the seller annoy?,s7,second_center,The student,student,tourist
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the student escort?,s7,first_center,The tourist,tourist,seller
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the seller annoy?,s7,second_center_nd,The student,student,tourist
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the student escort?,s7,first_center_nd,The tourist,tourist,seller
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the flight attendant delay?,s8,second_center,The guide,guide,guy
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the guide amuse?,s8,first_center,The guy,guy,flight attendant
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the flight attendant delay?,s8,second_center_nd,The guide,guide,guy
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the guide amuse?,s8,first_center_nd,The guy,guy,flight attendant
The dog that the vet that the farmer called treated barked.,Who did the farmer call?,s9,second_center,The vet,vet,dog
The dog that the vet that the farmer called treated barked.,Who did the vet treat?,s9,first_center,The dog,dog,farmer
"The dog, who was treated by the vet called by the farmer, barked.",Who did the farmer call?,s9,second_center_nd,The vet,vet,dog
"The dog, who was treated by the vet called by the farmer, barked.",Who did the vet treat?,s9,first_center_nd,The dog,dog,farmer
The artist that the curator that the museum hired praised smiled.,Who did the museum hire?,s10,second_center,The curator,curator,artist
The artist that the curator that the museum hired praised smiled.,Who did the curator praise?,s10,first_center,The artist,artist,museum
"The artist, who was praised by the curator hired by the museum, smiled.",Who did the museum hire?,s10,second_center_nd,The curator,curator,artist
"The artist, who was praised by the curator hired by the museum, smiled.",Who did the curator praise?,s10,first_center_nd,The artist,artist,museum
The book that the librarian that the author met recommended sold well.,Who did the author meet?,s11,second_center,The librarian,librarian,book
The book that the librarian that the author met recommended sold well.,What did the librarian recommend?,s11,first_center,The book,book,author
"The book, which was recommended by the librarian met by the author, sold well.",Who did the author meet?,s11,second_center_nd,The librarian,librarian,book
"The book, which was recommended by the librarian met by the author, sold well.",What did the librarian recommend?,s11,first_center_nd,The book,book,author
The singer that the manager that the producer hired promoted performed.,Who did the producer hire?,s12,second_center,The manager,manager,singer
The singer that the manager that the producer hired promoted performed.,Who did the manager promote?,s12,first_center,The singer,singer,producer
"The singer, who was promoted by the manager hired by the producer, performed.",Who did the producer hire?,s12,second_center_nd,The manager,manager,singer
"The singer, who was promoted by the manager hired by the producer, performed.",Who did the manager promote?,s12,first_center_nd,The singer,singer,producer
The dancer that the photographer that the director hired photographed bowed.,Who did the director hire?,s13,second_center,The photographer,photographer,dancer
The dancer that the photographer that the director hired photographed bowed.,Who did the photographer photograph?,s13,first_center,The dancer,dancer,director
"The dancer, who was photographed by the photographer hired by the director, bowed.",Who did the director hire?,s13,second_center_nd,The photographer,photographer,dancer
"The dancer, who was photographed by the photographer hired by the director, bowed.",Who did the photographer photograph?,s13,first_center_nd,The dancer,dancer,director
The baker that the chef that the manager appointed scolded left.,Who did the manager appoint?,s14,second_center,The chef,chef,baker
The baker that the chef that the manager appointed scolded left.,Who did the chef scold?,s14,first_center,The baker,baker,manager
"The baker, who was scolded by the chef appointed by the manager, left.",Who did the manager appoint?,s14,second_center_nd,The chef,chef,baker
"The baker, who was scolded by the chef appointed by the manager, left.",Who did the chef scold?,s14,first_center_nd,The baker,baker,manager
The athlete that the coach that the reporter interviewed trained won.,Who did the reporter interview?,s15,second_center,The coach,coach,athlete
The athlete that the coach that the reporter interviewed trained won.,Who did the coach train?,s15,first_center,The athlete,athlete,reporter
"The athlete, who was trained by the coach interviewed by the reporter, won.",Who did the reporter interview?,s15,second_center_nd,The coach,coach,athlete
"The athlete, who was trained by the coach interviewed by the reporter, won.",Who did the coach train?,s15,first_center_nd,The athlete,athlete,reporter
The programmer that the engineer that the manager promoted collaborated with laughed.,Who did the manager promote?,s16,second_center,The engineer,engineer,programmer
The programmer that the engineer that the manager promoted collaborated with laughed.,Who did the engineer collaborate with?,s16,first_center,The programmer,programmer,manager
"The programmer, who collaborated with the engineer promoted by the manager, laughed.",Who did the manager promote?,s16,second_center_nd,The engineer,engineer,programmer
"The programmer, who collaborated with the engineer promoted by the manager, laughed.",Who did the engineer collaborate with?,s16,first_center_nd,The programmer,programmer,manager
The teacher that the principal that the parent blamed scolded resigned.,Who did the parent blame?,s17,second_center,The principal,principal,teacher
The teacher that the principal that the parent blamed scolded resigned.,Who did the principal scold?,s17,first_center,The teacher,teacher,parent
