sentence,question,set_id,type,answer,correct_option,correct_first_token,correct_probability,incorrect_option,incorrect_first_token,incorrect_probability,predicted_answer,is_correct_prediction
The child that the neighbor that the guest scared liked fell.,Who did the guest scare?,1,second_center_com,The neighbor,neighbor,37569,0.35398629307746887,child,3124,0.6460136771202087,Thechildneighborneighborchild,False
The child that the neighbor that the guest scared liked fell.,Who did the neighbor like?,1,first_center_com,The child,child,3124,0.47073662281036377,guest,31277,0.5292633771896362,Theguestchildchildchild,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the guest scare?,1,second_center_mid,The neighbor,neighbor,37569,0.735641598701477,child,3124,0.2643583416938782,Theneighborchildneighborchild,False
"The child, who was liked by the neighbor scared by the guest, fell.",Who did the neighbor like?,1,first_center_mid,The child,child,3124,0.9936116337776184,guest,31277,0.006388320587575436,Thechildguestchildchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the guest scare?,1,second_center_sim,The neighbor,neighbor,37569,0.501953125,child,3124,0.498046875,Theneighborchildneighborchild,False
"There is that neighbor scared by the guest, so the child, who was liked by the neighbor, fell.",Who did the neighbor like?,1,first_center_sim,The child,child,3124,0.9992819428443909,guest,31277,0.0007180297980085015,Thechildguestchildchild,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the guest scare?,1,second_center_sim_rev,The neighbor,neighbor,37569,0.9498556852340698,child,3124,0.0501442514359951,Theneighborchildneighborneighbor,False
"The child, who was liked by the neighbor, fell. The neighbor is the one scared by the guest.",Who did the neighbor like?,1,first_center_sim_rev,The child,child,3124,0.9798226952552795,guest,31277,0.020177319645881653,Thechildguestchildguest,False
The man that the investigator that the journalist admired checked laughed.,Who did the journalist admire?,2,second_center_com,The investigator,investigator,43114,0.47268345952033997,man,1543,0.5273165106773376,Themaninvestigatorman,False
The man that the investigator that the journalist admired checked laughed.,Who did the investigator check?,2,first_center_com,The man,man,1543,0.19559407234191895,journalist,43618,0.804405927658081,Thejournalistmanman,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the journalist admire?,2,second_center_mid,The investigator,investigator,43114,0.31742629408836365,man,1543,0.6825737357139587,Themaninvestigatorinvest,False
"The man, who was checked by the investigator admired by the journalist, laughed.",Who did the investigator check?,2,first_center_mid,The man,man,1543,0.8895288705825806,journalist,43618,0.11047115176916122,Themanistmanist,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the journalist admire?,2,second_center_sim,The investigator,investigator,43114,0.854884684085846,man,1543,0.14511536061763763,Theinvestigatorinvestigator,False
"There is that investigator admired by the journalist, so the man, who was checked by the investigator, laughed.",Who did the investigator check?,2,first_center_sim,The man,man,1543,0.49218812584877014,journalist,43618,0.5078118443489075,Thejournalistmanman,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the journalist admire?,2,second_center_sim_rev,The investigator,investigator,43114,0.9167081117630005,man,1543,0.0832919329404831,Theinvestigatorinvestigator,False
"The man, who was checked by the investigator, laughed. The investigator is the one admired by the journalist.",Who did the investigator check?,2,first_center_sim_rev,The man,man,1543,0.9898695349693298,journalist,43618,0.010130411945283413,Themanistmanman,False
The thief that the mover that the architect knew surprised got caught.,Who did the architect know?,3,second_center_com,The mover,mover,76,0.5029296278953552,thief,339,0.4970703423023224,Themoverthief,False
The thief that the mover that the architect knew surprised got caught.,Who did the mover surprise?,3,first_center_com,The thief,thief,339,0.012288596481084824,architect,1132,0.9877113699913025,Thearchitectthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the architect know?,3,second_center_mid,The mover,mover,76,0.9114953279495239,thief,339,0.08850466459989548,Themoverthief,False
"The thief, who was surprised by the mover known by the architect, got caught.",Who did the mover surprise?,3,first_center_mid,The thief,thief,339,0.014842418022453785,architect,1132,0.9851576089859009,Thearchitectthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the architect know?,3,second_center_sim,The mover,mover,76,0.6113819479942322,thief,339,0.38861799240112305,Themoverthief,False
"There is that mover known by the architect, so the thief, who was surprised by the mover, got caught.",Who did the mover surprise?,3,first_center_sim,The thief,thief,339,0.05541279539465904,architect,1132,0.944587230682373,Thearchitectthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the architect know?,3,second_center_sim_rev,The mover,mover,76,0.8563323616981506,thief,339,0.14366760849952698,Themoverthief,False
"The thief, who was surprised by the mover, got caught. The mover is the one known by the architect.",Who did the mover surprise?,3,first_center_sim_rev,The thief,thief,339,0.07316471636295319,architect,1132,0.9268352389335632,Thearchitectthief,False
The student that the producer that the director hired preferred resigned.,Who did the director hire?,4,second_center_com,The producer,producer,60012,0.5078118443489075,student,12307,0.49218812584877014,Theproducerstudentstudentstudent,False
The student that the producer that the director hired preferred resigned.,Who did the producer prefer?,4,first_center_com,The student,student,12307,0.9111796617507935,director,70895,0.08882028609514236,Thestudentdirectorstudentdirector,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the director hire?,4,second_center_mid,The producer,producer,60012,0.9184802770614624,student,12307,0.08151975274085999,Theproducerstudentproducerstudent,False
"The student, who was preferred by the producer hired by the director, resigned.",Who did the producer prefer?,4,first_center_mid,The student,student,12307,0.968020498752594,director,70895,0.03197956085205078,Thestudentstudentstudentstudent,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the director hire?,4,second_center_sim,The producer,producer,60012,0.9376689791679382,student,12307,0.06233103945851326,Theproducerproducerstudentproducer,False
"There is that producer hired by the director, so the student, who was preferred by the producer, resigned.",Who did the producer prefer?,4,first_center_sim,The student,student,12307,0.9813107252120972,director,70895,0.018689308315515518,Thestudentstudentstudentstudent,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the director hire?,4,second_center_sim_rev,The producer,producer,60012,0.9952816367149353,student,12307,0.004718369338661432,Theproducerstudentproducerstudent,False
"The student, who was preferred by the producer, resigned. The producer is the one hired by the director.",Who did the producer prefer?,4,first_center_sim_rev,The student,student,12307,0.9857181310653687,director,70895,0.01428193412721157,Thestudentstudentstudentstudent,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the ambassador insult?,5,second_center_com,The assistant,assistant,78191,0.9622496962547302,technician,26522,0.03775027394294739,Theassistanttechnicianassistant,False
The technician the assistant that the ambassador insulted found was scratched.,Who did the assistant find?,5,first_center_com,The technician,technician,26522,0.637030839920044,ambassador,3042,0.36296921968460083,Thetechnicianambassador,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the ambassador insult?,5,second_center_mid,The assistant,assistant,78191,0.38676345348358154,technician,26522,0.6132366061210632,Thetechnicianassistantassistant,False
"The technician, who was found by the assistant insulted by the ambassador, was scratched.",Who did the assistant find?,5,first_center_mid,The technician,technician,26522,0.8227594494819641,ambassador,3042,0.1772405207157135,Thetechnicianambassador,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the ambassador insult?,5,second_center_sim,The assistant,assistant,78191,0.9848692417144775,technician,26522,0.015130728483200073,Theassistantassistantassistantassistant,False
"There is that assistant insulted by the ambassador, so the technician, who was found by the assistant, was scratched.",Who did the assistant find?,5,first_center_sim,The technician,technician,26522,0.9716717004776001,ambassador,3042,0.028328312560915947,Thetechnicianambassador,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the ambassador insult?,5,second_center_sim_rev,The assistant,assistant,78191,0.9952448010444641,technician,26522,0.004755199886858463,Theassistanttechnicianassistant,False
"The technician, who was found by the assistant, was scratched. The assistant is the one insulted by the ambassador.",Who did the assistant find?,5,first_center_sim_rev,The technician,technician,26522,0.9936856627464294,ambassador,3042,0.006314364727586508,Thetechnicianambassador,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the waiter slander?,6,second_center_com,The broadcaster,broadcaster,65,0.10932482779026031,model,2590,0.8906751871109009,Themodelbroadcaster,False
The model that the broadcaster that the waiter slandered recognized got famous.,Who did the broadcaster recognize?,6,first_center_com,The model,model,2590,0.5717666149139404,waiter,11748,0.42823338508605957,Themodelwaitermodel,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the waiter slander?,6,second_center_mid,The broadcaster,broadcaster,65,0.006930672097951174,model,2590,0.9930693507194519,Themodelbroadcaster,False
"The model, who was recognized by the broadcaster slandered by the waiter, got famous.",Who did the broadcaster recognize?,6,first_center_mid,The model,model,2590,0.873214840888977,waiter,11748,0.12678517401218414,Themodelwaitermodel,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the waiter slander?,6,second_center_sim,The broadcaster,broadcaster,65,0.45713675022125244,model,2590,0.5428633093833923,Themodelbroadcaster,False
"There is that broadcaster slandered by the waiter, so the model, who was recognized by the broadcaster, got famous.",Who did the broadcaster recognize?,6,first_center_sim,The model,model,2590,0.9726234674453735,waiter,11748,0.027376487851142883,Themodelermodelmodel,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the waiter slander?,6,second_center_sim_rev,The broadcaster,broadcaster,65,0.3442229628562927,model,2590,0.6557770371437073,Themodelbroadcaster,False
"The model, who was recognized by the broadcaster, got famous. The broadcaster is the one slandered by the waiter.",Who did the broadcaster recognize?,6,first_center_sim_rev,The model,model,2590,0.9769347906112671,waiter,11748,0.023065226152539253,Themodelmodelmodelmodel,False
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the seller annoy?,7,second_center_com,The student,student,12307,0.5175709128379822,tourist,52439,0.4824291169643402,Thestudenttouriststudent,False
The tourist that the student that the seller annoyed escorted fell asleep.,Who did the student escort?,7,first_center_com,The tourist,tourist,52439,0.4804786741733551,seller,35199,0.5195213556289673,Theselleristtourist,False
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the seller annoy?,7,second_center_mid,The student,student,12307,0.9289263486862183,tourist,52439,0.07107366621494293,Thestudenttouriststudent,False
"The tourist, who was escorted by the student annoyed by the seller, fell asleep.",Who did the student escort?,7,first_center_mid,The tourist,tourist,52439,0.9705764651298523,seller,35199,0.029423581436276436,Thetourististist,False
"There is that student annoyed by the seller, so the tourist, who was escorted by the student, fell asleep.",Who did the seller annoy?,7,second_center_sim,The student,student,12307,0.9284088015556335,tourist,52439,0.07159119844436646,Thestudentstudentstudentstudent,False
"There is that student annoyed by the seller, so the tourist, who was escorted by the student, fell asleep.",Who did the student escort?,7,first_center_sim,The tourist,tourist,52439,0.9606574773788452,seller,35199,0.03934250399470329,Thetourististtour,False
"The tourist, who was escorted by the student, fell asleep. The student is the one annoyed by the seller.",Who did the seller annoy?,7,second_center_sim_rev,The student,student,12307,0.7813306450843811,tourist,52439,0.21866938471794128,Thestudenttouriststudent,False
"The tourist, who was escorted by the student, fell asleep. The student is the one annoyed by the seller.",Who did the student escort?,7,first_center_sim_rev,The tourist,tourist,52439,0.9904035329818726,seller,35199,0.009596454910933971,Thetourististist,False
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the flight attendant delay?,8,second_center_com,The guide,guide,49470,0.9860979318618774,guy,70,0.013902058824896812,Theguideguyg,False
The guy that the guide that the flight attendant delayed amused calmed down.,Who did the guide amuse?,8,first_center_com,The guy,guy,70,0.06052938848733902,flight attendant,39490,0.9394705891609192,The attendant attendant attendant attendant,False
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the flight attendant delay?,8,second_center_mid,The guide,guide,49470,0.9977127313613892,guy,70,0.002287227427586913,Theguideguyg,False
"The guy, who was amused by the guide delayed by the flight attendant, calmed down.",Who did the guide amuse?,8,first_center_mid,The guy,guy,70,0.9036349058151245,flight attendant,39490,0.09636510163545609,The attendant attendant attendant attendant,False
"There is that guide delayed by the flight attendant, so the guy, who was amused by the guide, calmed down.",Who did the flight attendant delay?,8,second_center_sim,The guide,guide,49470,0.9981324076652527,guy,70,0.0018675659084692597,Theguideguyg,False
"There is that guide delayed by the flight attendant, so the guy, who was amused by the guide, calmed down.",Who did the guide amuse?,8,first_center_sim,The guy,guy,70,0.939024806022644,flight attendant,39490,0.06097518280148506,The attendant attendant attendant attendant,False
"The guy, who was amused by the guide, calmed down. The guide is the one delayed by the flight attendant.",Who did the flight attendant delay?,8,second_center_sim_rev,The guide,guide,49470,0.9993384480476379,guy,70,0.000661517377011478,Theguideguyg,False
"The guy, who was amused by the guide, calmed down. The guide is the one delayed by the flight attendant.",Who did the guide amuse?,8,first_center_sim_rev,The guy,guy,70,0.988863468170166,flight attendant,39490,0.011136502958834171,The attendant attendant attendant attendant,False
The artist that the curator that the museum hired praised smiled.,Who did the museum hire?,10,second_center_com,The curator,curator,2407,0.08151975274085999,artist,19135,0.9184802770614624,Theartistcuratorartist,False
The artist that the curator that the museum hired praised smiled.,Who did the curator praise?,10,first_center_com,The artist,artist,19135,0.9954791069030762,museum,76,0.004520817194133997,Theartistmuseumartist,False
"The artist, who was praised by the curator hired by the museum, smiled.",Who did the museum hire?,10,second_center_mid,The curator,curator,2407,0.9939261078834534,artist,19135,0.006073934491723776,Thecuratorcurator,False
"The artist, who was praised by the curator hired by the museum, smiled.",Who did the curator praise?,10,first_center_mid,The artist,artist,19135,0.9987305998802185,museum,76,0.0012693643802776933,Theartistmuseumartist,False
"There is that curator hired by the museum, so the artist, who was praised by the curator, smiled.",Who did the museum hire?,10,second_center_sim,The curator,curator,2407,0.9862577319145203,artist,19135,0.01374232117086649,Thecuratorartistcur,False
"There is that curator hired by the museum, so the artist, who was praised by the curator, smiled.",Who did the curator praise?,10,first_center_sim,The artist,artist,19135,0.9985895752906799,museum,76,0.0014103584690019488,Theartistmuseumartist,False
"The artist, who was praised by the curator, smiled. The curator is the one hired by the museum.",Who did the museum hire?,10,second_center_sim_rev,The curator,curator,2407,0.9898695349693298,artist,19135,0.010130411945283413,Thecuratorartistartist,False
"The artist, who was praised by the curator, smiled. The curator is the one hired by the museum.",Who did the curator praise?,10,first_center_sim_rev,The artist,artist,19135,0.9992145299911499,museum,76,0.0007854739669710398,Theartistmuseumartist,False
The child that the librarian that the author met liked smiled.,Who did the author meet?,11,second_center_com,The librarian,librarian,2808,0.6825737357139587,child,3124,0.31742629408836365,Thelibrarianchildlib,False
The child that the librarian that the author met liked smiled.,Who did the librarian like?,11,first_center_com,The child,child,3124,0.4590761363506317,author,3170,0.5409238338470459,Theauthorchildchildchild,False
"The child, which was liked by the librarian met by the author, smiled.",Who did the author meet?,11,second_center_mid,The librarian,librarian,2808,0.08509904146194458,child,3124,0.9149009585380554,Thechildlibrarianchild,False
"The child, which was liked by the librarian met by the author, smiled.",Who did the librarian like?,11,first_center_mid,The child,child,3124,0.9213575720787048,author,3170,0.07864238321781158,Thechildauthorchildauthor,False
"There is that librarian met by the author, so the child, which was liked by the librarian, smiled.",Who did the author meet?,11,second_center_sim,The librarian,librarian,2808,0.6619228720664978,child,3124,0.3380771279335022,Thelibrarianchildlib,False
"There is that librarian met by the author, so the child, which was liked by the librarian, smiled.",Who did the librarian like?,11,first_center_sim,The child,child,3124,0.937210738658905,author,3170,0.0627892017364502,Thechildauthorauthorchild,False
"The child, who was liked by the librarian, smiled. The librarian is the one met by the author.",Who did the author meet?,11,second_center_sim_rev,The librarian,librarian,2808,0.9864678382873535,child,3124,0.01353214867413044,Thelibrarianchildlib,False
"The child, who was liked by the librarian, smiled. The librarian is the one met by the author.",Who did the librarian like?,11,first_center_sim_rev,The child,child,3124,0.9571177959442139,author,3170,0.04288224130868912,Thechildauthorchildauthor,False
